datetime,station_id,totalDemand,totalSupply
2016-10-01T13:00:00.000-04:00,461,2,3
2016-10-01T14:00:00.000-04:00,346,2,2
2016-10-01T18:00:00.000-04:00,312,1,9
2016-10-03T08:00:00.000-04:00,2017,1,4
2016-10-03T08:00:00.000-04:00,3175,4,1
2016-10-03T09:00:00.000-04:00,285,7,16
2016-10-03T10:00:00.000-04:00,3354,1,1
2016-10-03T21:00:00.000-04:00,369,1,1
2016-10-04T10:00:00.000-04:00,395,2,1
2016-10-04T13:00:00.000-04:00,2012,4,3
2016-10-05T09:00:00.000-04:00,307,4,2
2016-10-05T17:00:00.000-04:00,153,5,3
2016-10-06T15:00:00.000-04:00,3148,1,1
2016-10-06T18:00:00.000-04:00,461,4,6
2016-10-07T08:00:00.000-04:00,280,2,2
2016-10-07T09:00:00.000-04:00,460,3,4
2016-10-07T10:00:00.000-04:00,3107,1,1
2016-10-07T15:00:00.000-04:00,457,6,3
2016-10-07T17:00:00.000-04:00,409,1,3
2016-10-07T20:00:00.000-04:00,2002,3,2
2016-10-07T22:00:00.000-04:00,312,2,2
2016-10-07T23:00:00.000-04:00,2002,2,1
2016-10-10T09:00:00.000-04:00,369,1,1
2016-10-10T11:00:00.000-04:00,530,2,2
2016-10-10T16:00:00.000-04:00,347,3,2
2016-10-10T16:00:00.000-04:00,461,3,5
2016-10-10T19:00:00.000-04:00,3383,4,1
2016-10-11T16:00:00.000-04:00,3158,2,4
2016-10-11T22:00:00.000-04:00,461,1,2
2016-10-12T10:00:00.000-04:00,351,1,1
2016-10-12T12:00:00.000-04:00,3140,1,2
2016-10-12T18:00:00.000-04:00,3166,2,6
2016-10-12T19:00:00.000-04:00,526,3,1
2016-10-13T09:00:00.000-04:00,457,8,7
2016-10-13T09:00:00.000-04:00,467,1,1
2016-10-13T14:00:00.000-04:00,468,3,5
2016-10-13T16:00:00.000-04:00,307,1,3
2016-10-14T10:00:00.000-04:00,347,1,1
2016-10-14T21:00:00.000-04:00,3078,1,1
2016-10-14T23:00:00.000-04:00,490,2,1
2016-10-15T12:00:00.000-04:00,3061,1,1
2016-10-16T17:00:00.000-04:00,395,1,3
2016-10-17T13:00:00.000-04:00,3224,3,2
2016-10-17T14:00:00.000-04:00,161,1,3
2016-10-17T17:00:00.000-04:00,526,4,1
2016-10-18T09:00:00.000-04:00,3383,1,1
2016-10-18T11:00:00.000-04:00,468,3,1
2016-10-18T13:00:00.000-04:00,3121,2,1
2016-10-18T22:00:00.000-04:00,526,6,1
2016-10-19T17:00:00.000-04:00,244,1,2
2016-10-19T18:00:00.000-04:00,252,3,6
2016-10-19T18:00:00.000-04:00,2002,3,1
2016-10-20T12:00:00.000-04:00,472,3,2
2016-10-20T15:00:00.000-04:00,312,2,1
2016-10-20T16:00:00.000-04:00,3427,3,4
2016-10-20T18:00:00.000-04:00,168,9,4
2016-10-20T21:00:00.000-04:00,461,3,2
2016-10-21T18:00:00.000-04:00,457,3,2
2016-10-21T19:00:00.000-04:00,3002,4,5
2016-10-22T10:00:00.000-04:00,161,2,1
2016-10-22T17:00:00.000-04:00,152,2,1
2016-10-23T18:00:00.000-04:00,3427,5,3
2016-10-24T08:00:00.000-04:00,3150,5,2
2016-10-24T18:00:00.000-04:00,2002,2,4
2016-10-25T11:00:00.000-04:00,2012,3,4
2016-10-25T15:00:00.000-04:00,3373,3,1
2016-10-26T17:00:00.000-04:00,3158,5,2
2016-10-26T19:00:00.000-04:00,116,2,3
2016-10-27T09:00:00.000-04:00,116,1,1
2016-10-28T10:00:00.000-04:00,2012,2,2
2016-10-28T12:00:00.000-04:00,445,1,1
2016-10-28T15:00:00.000-04:00,279,1,1
2016-10-30T15:00:00.000-04:00,454,2,3
2016-10-31T14:00:00.000-04:00,153,4,1
2016-11-01T08:00:00.000-04:00,536,3,3
2016-11-01T15:00:00.000-04:00,534,1,1
2016-11-01T18:00:00.000-04:00,3415,1,1
2016-11-02T16:00:00.000-04:00,347,3,2
2016-11-02T17:00:00.000-04:00,536,4,2
2016-11-02T21:00:00.000-04:00,285,1,2
2016-11-02T22:00:00.000-04:00,347,2,1
2016-11-03T20:00:00.000-04:00,457,6,2
2016-11-04T07:00:00.000-04:00,2017,1,1
2016-11-04T16:00:00.000-04:00,490,11,10
2016-11-04T19:00:00.000-04:00,2003,1,6
2016-11-05T11:00:00.000-04:00,152,2,2
2016-11-05T15:00:00.000-04:00,161,4,2
2016-11-05T18:00:00.000-04:00,3002,3,5
2016-11-06T13:00:00.000-05:00,3359,1,1
2016-11-06T17:00:00.000-05:00,3383,2,1
2016-11-06T22:00:00.000-05:00,307,2,1
2016-11-07T09:00:00.000-05:00,319,2,2
2016-11-07T11:00:00.000-05:00,457,2,1
2016-11-08T13:00:00.000-05:00,238,3,2
2016-11-08T17:00:00.000-05:00,195,3,4
2016-11-08T17:00:00.000-05:00,3315,1,4
2016-11-08T19:00:00.000-05:00,3148,1,1
2016-11-09T06:00:00.000-05:00,252,1,1
2016-11-09T12:00:00.000-05:00,3158,1,1
