temp,humidity,total_precip,cloud_cover,datetime
61.12,70.0,0.0,100.0,2015-10-01T00:00:00.000-04:00
60.11,69.0,0.0,100.0,2015-10-01T01:00:00.000-04:00
58.99,71.0,0.0,100.0,2015-10-01T02:00:00.000-04:00
57.68,74.0,0.0,100.0,2015-10-01T03:00:00.000-04:00
56.46,75.0,0.0,100.0,2015-10-01T04:00:00.000-04:00
55.48,76.0,0.0,100.0,2015-10-01T05:00:00.000-04:00
54.69,75.0,0.0,100.0,2015-10-01T06:00:00.000-04:00
54.62,64.0,0.0,100.0,2015-10-01T07:00:00.000-04:00
54.8,63.0,0.0,100.0,2015-10-01T08:00:00.000-04:00
55.72,62.0,0.0,100.0,2015-10-01T09:00:00.000-04:00
57.07,60.0,0.0,100.0,2015-10-01T10:00:00.000-04:00
58.15,59.0,0.0,100.0,2015-10-01T11:00:00.000-04:00
58.9,59.0,0.0,100.0,2015-10-01T12:00:00.000-04:00
59.64,59.0,0.0,100.0,2015-10-01T13:00:00.000-04:00
60.11,59.0,0.0,100.0,2015-10-01T14:00:00.000-04:00
60.42,59.0,0.0,100.0,2015-10-01T15:00:00.000-04:00
60.54,60.0,0.0,100.0,2015-10-01T16:00:00.000-04:00
60.61,60.0,0.0,100.0,2015-10-01T17:00:00.000-04:00
60.42,62.0,0.0,100.0,2015-10-01T18:00:00.000-04:00
60.22,63.0,0.0,100.0,2015-10-01T19:00:00.000-04:00
59.95,65.0,0.0,100.0,2015-10-01T20:00:00.000-04:00
59.14,68.0,0.0,100.0,2015-10-01T21:00:00.000-04:00
58.44,70.0,0.0,100.0,2015-10-01T22:00:00.000-04:00
58.06,70.0,0.0,100.0,2015-10-01T23:00:00.000-04:00
57.79,69.0,0.0,100.0,2015-10-02T00:00:00.000-04:00
57.1,68.0,0.0,100.0,2015-10-02T01:00:00.000-04:00
56.62,66.0,0.0,100.0,2015-10-02T02:00:00.000-04:00
56.26,63.0,0.0,100.0,2015-10-02T03:00:00.000-04:00
56.11,60.0,0.0,100.0,2015-10-02T04:00:00.000-04:00
55.86,57.0,0.0,100.0,2015-10-02T05:00:00.000-04:00
55.47,54.0,0.0,100.0,2015-10-02T06:00:00.000-04:00
52.75,67.0,0.2,100.0,2015-10-02T07:00:00.000-04:00
52.35,67.0,0.3,100.0,2015-10-02T08:00:00.000-04:00
52.03,68.0,0.3,100.0,2015-10-02T09:00:00.000-04:00
52.1,68.0,0.3,100.0,2015-10-02T10:00:00.000-04:00
52.64,67.0,0.2,100.0,2015-10-02T11:00:00.000-04:00
53.22,66.0,0.2,100.0,2015-10-02T12:00:00.000-04:00
53.31,67.0,0.3,100.0,2015-10-02T13:00:00.000-04:00
52.78,73.0,0.9,100.0,2015-10-02T14:00:00.000-04:00
52.33,78.0,1.7,100.0,2015-10-02T15:00:00.000-04:00
52.21,80.0,1.9,100.0,2015-10-02T16:00:00.000-04:00
52.01,82.0,1.7,100.0,2015-10-02T17:00:00.000-04:00
51.72,84.0,1.7,100.0,2015-10-02T18:00:00.000-04:00
51.6,84.0,1.5,100.0,2015-10-02T19:00:00.000-04:00
51.43,83.0,1.3,100.0,2015-10-02T20:00:00.000-04:00
51.25,82.0,0.8,100.0,2015-10-02T21:00:00.000-04:00
